,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
0,1,NJN,Kenyon Martin,University of Cincinnati,15.0,757.0,23134.0,9325.0,5159.0,1439.0,0.483,0.23399999999999999,0.629,30.6,12.3,6.8,1.9,48.0,0.1,0.7,15.5,2000
1,2,VAN,Stromile Swift,Louisiana State University,9.0,547.0,10804.0,4582.0,2535.0,275.0,0.473,0.07400000000000001,0.6990000000000001,19.8,8.4,4.6,0.5,21.3,0.095,-1.9,0.2,2000
3,4,CHI,Marcus Fizer,Iowa State University,6.0,289.0,6032.0,2782.0,1340.0,352.0,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022000000000000002,-4.7,-4.1,2000
4,5,ORL,Mike Miller,University of Florida,17.0,1032.0,27812.0,10973.0,4376.0,2666.0,0.45899999999999996,0.40700000000000003,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.9,20.3,2000
5,6,ATL,DerMarr Johnson,University of Cincinnati,7.0,344.0,5930.0,2121.0,769.0,304.0,0.41100000000000003,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052000000000000005,-1.6,0.6,2000
6,7,CHI,Chris Mihm,University of Texas at Austin,8.0,436.0,8758.0,3262.0,2302.0,223.0,0.45899999999999996,0.231,0.7040000000000001,20.1,7.5,5.3,0.5,13.3,0.073,-3.8,-4.1,2000
7,8,CLE,Jamal Crawford,University of Michigan,19.0,1326.0,38988.0,19414.0,2948.0,4538.0,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.6,0.075,-1.1,8.9,2000
8,9,HOU,Joel Przybilla,University of Minnesota,13.0,592.0,11733.0,2293.0,3665.0,256.0,0.552,0.0,0.557,19.8,3.9,6.2,0.4,23.0,0.094,-0.9,3.3,2000
9,10,ORL,Keyon Dooling,University of Missouri,13.0,728.0,14134.0,5067.0,964.0,1601.0,0.41600000000000004,0.349,0.799,19.4,7.0,1.3,2.2,18.5,0.063,-3.0,-3.6,2000
10,11,BOS,Jerome Moiso,"University of California, Los Angeles",5.0,145.0,1392.0,386.0,395.0,38.0,0.489,0.0,0.593,9.6,2.7,2.7,0.3,2.1,0.07400000000000001,-3.8,-0.6,2000
12,13,ORL,Courtney Alexander,"California State University, Fresno",3.0,187.0,4067.0,1690.0,409.0,227.0,0.42200000000000004,0.33899999999999997,0.813,21.7,9.0,2.2,1.2,4.1,0.048,-4.0,-2.1,2000
13,14,DET,Mateen Cleaves,Michigan State University,6.0,167.0,1863.0,609.0,175.0,310.0,0.389,0.267,0.728,11.2,3.6,1.0,1.9,-0.8,-0.021,-6.3,-2.0,2000
14,15,MIL,Jason Collier,Georgia Institute of Technology,5.0,151.0,2178.0,841.0,443.0,51.0,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-6.3,-2.3,2000
16,17,SEA,Desmond Mason,Oklahoma State University,10.0,643.0,19641.0,7767.0,2863.0,1049.0,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.055999999999999994,-2.4,-1.9,2000
17,18,LAC,Quentin Richardson,DePaul University,13.0,783.0,20785.0,8032.0,3666.0,1138.0,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,-0.3,8.9,2000
18,19,CHH,Jamaal Magloire,University of Kentucky,12.0,680.0,14621.0,4917.0,4408.0,386.0,0.48,0.0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.3,2000
19,20,PHI,Speedy Claxton,Hofstra University,7.0,334.0,8548.0,3096.0,830.0,1441.0,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.7,2.8,2000
20,21,TOR,Morris Peterson,Michigan State University,11.0,711.0,19366.0,7628.0,2483.0,1090.0,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.08900000000000001,0.0,9.7,2000
21,22,NYK,Donnell Harvey,University of Florida,5.0,205.0,3318.0,1150.0,827.0,161.0,0.46,0.1,0.659,16.2,5.6,4.0,0.8,4.7,0.069,-2.7,-0.6,2000
25,26,DEN,Mamadou N'Diaye,Auburn University,5.0,69.0,858.0,262.0,225.0,8.0,0.42700000000000005,0.0,0.736,12.4,3.8,3.3,0.1,1.8,0.10099999999999999,-5.3,-0.7,2000
27,28,POR,Erick Barkley,St. John's University,2.0,27.0,266.0,77.0,21.0,40.0,0.35600000000000004,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027000000000000003,-3.8,-0.1,2000
28,29,LAL,Mark Madsen,Stanford University,9.0,453.0,5335.0,975.0,1157.0,181.0,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.07400000000000001,-2.2,-0.2,2000
30,31,DAL,Dan Langhi,Vanderbilt University,4.0,133.0,1253.0,393.0,199.0,39.0,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.3,0.012,-6.8,-1.5,2000
31,32,CHI,A.J. Guyton,Indiana University,3.0,80.0,1246.0,442.0,80.0,147.0,0.377,0.37799999999999995,0.8220000000000001,15.6,5.5,1.0,1.8,0.3,0.01,-5.4,-1.1,2000
32,33,CHI,Jake Voskuhl,University of Connecticut,9.0,450.0,6443.0,1814.0,1539.0,237.0,0.48700000000000004,0.33299999999999996,0.7140000000000001,14.3,4.0,3.4,0.5,11.6,0.087,-2.2,-0.3,2000
33,34,CHI,Khalid El-Amin,University of Connecticut,1.0,50.0,936.0,314.0,81.0,145.0,0.37,0.33299999999999996,0.778,18.7,6.3,1.6,2.9,0.6,0.03,-3.8,-0.4,2000
34,35,WAS,Mike Smith,University of Louisiana at Monroe,1.0,17.0,180.0,51.0,22.0,10.0,0.322,0.16699999999999998,0.625,10.6,3.0,1.3,0.6,-0.1,-0.033,-5.5,-0.2,2000
36,37,MIA,Eddie House,Arizona State University,11.0,717.0,12405.0,5356.0,1223.0,1112.0,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20.0,0.077,-1.5,1.6,2000
37,38,HOU,Eduardo Najera,University of Oklahoma,12.0,619.0,11213.0,3052.0,2307.0,493.0,0.48100000000000004,0.311,0.6709999999999999,18.1,4.9,3.7,0.8,24.7,0.106,0.3,6.4,2000
38,39,NYK,Lavor Postell,St. John's University,3.0,61.0,446.0,195.0,45.0,13.0,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025,-8.6,-0.7,2000
39,40,ATL,Hanno Mottola,University of Utah,2.0,155.0,2360.0,715.0,442.0,75.0,0.442,0.063,0.7829999999999999,15.2,4.6,2.9,0.5,0.9,0.019,-5.8,-2.3,2000
42,43,MIL,Michael Redd,Ohio State University,12.0,629.0,20104.0,11972.0,2411.0,1338.0,0.447,0.38,0.838,32.0,19.0,3.8,2.1,55.9,0.134,0.9,14.9,2000
43,44,DET,Brian Cardinal,Purdue University,12.0,456.0,6477.0,2108.0,1050.0,465.0,0.408,0.37200000000000005,0.861,14.2,4.6,2.3,1.0,15.4,0.114,0.7,4.5,2000
