,#,Team,Player,H,W,P,School,C
0,1,NOP,Zion Williamson,6-6,280,PF,Duke,Fr.
1,2,MEM,Ja Morant,6-3,175,PG,Murray St.,So.
2,3,NYK,RJ Barrett,6-7,210,SG,Duke,Fr.
3,4,LAL,DeAndre Hunter,6-7,225,SF/PF,Virginia,So.
4,5,CLE,Darius Garland,6-2,175,PG,Vanderbilt,Fr.
5,6,PHO,Coby White,6-5,190,PG/SG,North Carolina,Fr.
6,7,CHI,Jarrett Culver,6-6,195,SG,Texas Tech,So.
7,8,ATL,Cameron Reddish,6-8,210,SG/SF,Duke,Fr.
8,9,WAS,Bruno Fernando,6-10,240,C,Maryland,So.
9,10,ATL,Mfiondu Kabengele,6-10,255,PF/C,Florida St.,So.
10,11,MIN,Nassir Little,6-6,225,SF,North Carolina,Fr.
11,12,CHO,Jaxson Hayes,6-11,220,PF/C,Texas,Fr.
12,13,MIA,Sekou Doumbouya,6-9,230,SF/PF,France,Intl.
13,14,BOS,Rui Hachimura,6-8,235,SF/PF,Gonzaga,Jr.
14,15,DET,Bol Bol,7-2,210,C,Oregon,Fr.
15,16,ORL,Nickeil Alexande...,6-5,205,SG,Virginia Tech,So.
16,17,BRK,Goga Bitadze,6-11,250,C,Rep. of Georgia,Intl.
17,18,IND,PJ Washington,6-8,230,PF,Kentucky,So.
18,19,SAS,Nicolas Claxton,6-11,215,PF,Georgia,So.
19,20,BOS,Brandon Clarke,6-8,210,PF/C,Gonzaga,Jr.
20,21,OKC,Tyler Herro,6-6,195,SG,Kentucky,Fr.
21,22,BOS,Keldon Johnson,6-6,215,SG/SF,Kentucky,Fr.
22,23,UTA,KZ Okpala,6-8,210,SG/SF,Stanford,So.
23,24,PHI,Romeo Langford,6-6,210,SG,Indiana,Fr.
24,25,POR,Daniel Gafford,6-10,240,PF/C,Arkansas,So.
25,26,CLE,Kevin Porter,6-5,215,SG/SF,USC,Fr.
26,27,BRK,Luka Samanic,6-11,230,PF,Croatia,Intl.
27,28,GSW,Dylan Windler,6-7,195,SG/SF,Belmont,Sr.
28,29,SAS,Matisse Thybulle,6-6,200,SG/SF,Washington,Sr.
29,30,MIL,Naz Reid,6-10,255,C,LSU,Fr.
30,31,BRK,Ty Jerome,6-5,195,PG,Virginia,Jr.
31,32,PHO,Cameron Johnson,6-8,205,SF,North Carolina,Sr.
32,33,PHI,Carsen Edwards,6-0,200,PG,Purdue,Jr.
33,34,PHI,Grant Williams,6-7,240,PF,Tennessee,Jr.
34,35,ATL,Moses Brown,7-2,240,C,UCLA,Fr.
35,36,CHO,Eric Paschall,6-7,255,PF,Villanova,Sr.
36,37,NOP,Terance Mann,6-6,205,SG,Florida St.,Sr.
37,38,CHI,Chuma Okeke,6-8,235,SF/PF,Auburn,So.
38,39,DAL,Tyler Cook,6-8,245,PF,Iowa,Jr.
39,40,SAC,Isaiah Roby,6-8,215,SF/PF,Nebraska,Jr.
40,41,ATL,Tacko Fall,7-6,290,C,Central Florida,Sr.
41,42,ATL,Jalen McDaniels,6-9,190,SF/PF,San Diego St.,So.
42,43,MIN,Louis King,6-8,195,SF,Oregon,Fr.
43,44,PHI,Jordan Bone,6-3,180,PG,Tennessee,Jr.
44,45,DET,Adam Mokoka,6-5,210,SG,France,Intl.
45,46,ORL,Talen Horton-Tuc...,6-4,235,SG/SF,Iowa St.,Fr.
46,47,SAC,Luguentz Dort,6-4,220,SG,Arizona St.,Fr.
47,48,LAC,Kris Wilkes,6-7,210,SF,UCLA,So.
48,49,SAS,Jalen Lecque,6-4,185,PG/SG,NC State,HSSr.
49,50,IND,Jaylen Nowell,6-4,200,PG/SG,Washington,So.
50,51,BOS,Darius Bazley,6-9,210,SF/PF,USA,N/A
51,52,CHO,Brian Bowen,6-7,200,SF,USA,Intl.
52,53,UTA,Sagaba Konate,6-8,250,PF/C,West Virginia,Jr.
53,54,PHI,Jaylen Hands,6-3,180,PG,UCLA,So.
54,55,NYK,Zach Norvell,6-6,205,SG,Gonzaga,So.
55,56,LAC,Jaylen Hoard,6-8,215,SF/PF,Wake Forest,Fr.
56,57,NOP,Miye Oni,6-5,205,SG,Yale,Jr.
57,58,GSW,Admiral Schofield,6-5,240,SF,Tennessee,Sr.
58,59,TOR,Ignas Brazdeikis,6-7,220,SF,Michigan,Fr.
59,60,SAC,Jontay Porter,6-11,210,PF/C,Missouri,So.
