,Name,Pos,Pk,Tm
0,Gilbert Arenas,PG,31,GSW
1,Brandon Armstrong,SG,23,HOU
2,Shane Battier,SF,6,MEM
3,Jamison Brewer,SG,41,IND
4,Damone Brown,SF,37,PHI
5,Jarron Collins,C,53,UTA
6,Jason Collins,C,18,HOU
7,Joseph Forte,SG,21,BOS
8,Eddie Griffin,PF,7,NJN
9,Trenton Hassell,SG,30,CHI
10,Kirk Haston,PF,16,CHH
11,Steven Hunter,C,15,ORL
12,Richard Jefferson,SF,13,HOU
13,Joe Johnson,SG,10,BOS
14,Terence Morris,SF,34,ATL
15,Troy Murphy,PF,14,GSW
16,Zach Randolph,PF,19,POR
17,Jason Richardson,SG,5,GSW
18,Jeryl Sasser,SG,22,ORL
19,Kenny Satterfield,PG,54,DAL
20,Brian Scalabrine,PF,35,NJN
21,Bobby Simmons,SF,42,SEA
22,Will Solomon,SG,33,MEM
23,Jamaal Tinsley,PG,27,MEM
24,Jeff Trepagnier,SG,36,CLE
25,Gerald Wallace,SF,25,SAC
26,Earl Watson,PG,40,SEA
27,Rodney White,SF,9,DET
28,Lonny Baxter,C,44,CHI
29,Carlos Boozer,PF,35,CLE
30,Caron Butler,SF,10,MIA
31,Rasual Butler,SG,53,MIA
32,Juan Dixon,PG,17,WAS
33,Melvin Ely,C,12,LAC
34,Dan Gadzuric,C,34,MIL
35,Drew Gooden,SF,4,MEM
36,Marcus Haislip,PF,13,MIL
37,Casey Jacobsen,SF,22,PHO
38,Jared Jeffries,SF,11,WAS
39,Fred Jones,SG,14,IND
40,Sean Lampley,SF,45,CHI
41,Tito Maddox,SG,38,HOU
42,Roger Mason,SF,31,CHI
43,Tayshaun Prince,SF,23,DET
44,Kareem Rush,PG,20,TOR
45,John Salmons,PG,26,SAS
46,Tamar Slay,SG,54,NJN
47,Dajuan Wagner,SG,6,CLE
48,Chris Wilcox,PF,8,LAC
49,Frank Williams,PG,25,DEN
50,Jay Williams,PG,2,CHI
51,Vincent Yarbrough,SG,33,DEN
52,Carmelo Anthony,SF,3,DEN
53,Marcus Banks,PG,13,MEM
54,Matt Barnes,SF,46,MEM
55,Troy Bell,PG,16,BOS
56,Steve Blake,PG,38,WAS
57,Keith Bogans,SF,43,MIL
58,Curtis Borchardt,C,18,ORL
59,Chris Bosh,C,4,TOR
60,Brian Cook,C,24,LAL
61,Omar Cook,PG,32,ORL
62,Reece Gaines,PG,15,ORL
63,Willie Green,SG,41,SEA
64,Travis Hansen,SF,37,ATL
65,Kirk Hinrich,PG,7,CHI
66,Josh Howard,SF,29,DAL
67,Brandon Hunter,PF,56,BOS
68,James Jones,SF,49,IND
69,Jason Kapono,SF,31,CLE
70,Kyle Korver,SF,51,NJN
71,Luke Ridnour,PG,14,SEA
72,Darius Songaila,PF,50,BOS
73,Mike Sweetney,PF,9,NYK
74,Dwyane Wade,PG,5,MIA
75,Luke Walton,PF,32,LAL
76,David West,PF,18,NOH
77,Mo Williams,SG,47,UTA
78,Tony Allen,SG,25,BOS
79,Rafael Araujo,C,8,TOR
80,Trevor Ariza,SF,43,NYK
81,Matt Bonner,C,45,CHI
82,Antonio Burks,PG,36,ORL
83,Lionel Chalmers,PG,33,LAC
84,Josh Childress,SG,6,ATL
85,Nick Collison,C,12,SEA
86,Luol Deng,SF,7,PHO
87,Chris Duhon,PG,38,CHI
88,Andre Emmett,SG,35,SEA
89,Matt Freije,PF,53,MIA
90,Ben Gordon,SG,3,CHI
91,Devin Harris,PG,5,WAS
92,Kris Humphries,PF,14,UTA
93,Andre Iguodala,SG,9,PHI
94,Royal Ivey,PG,37,ATL
95,Luke Jackson,SF,10,CLE
96,Kevin Martin,PG,26,SAC
97,Jameer Nelson,PG,20,DEN
98,Justin Reed,SF,40,BOS
99,Bernard Robinson,SG,45,CHA
100,Kirk Snyder,SG,16,UTA
101,Jackson Vroman,C-,31,CHI
102,Delonte West,SG,24,BOS
103,Alex Acker,SG,60,DET
104,Brandon Bass,PF,33,NOH
105,Andrew Bogut,PF,1,MIL
106,Travis Diener,PG,38,ORL
107,Ike Diogu,PF,9,GSW
108,Daniel Ewing,SG,32,LAC
109,Raymond Felton,PG,5,CHA
110,Channing Frye,C,8,NYK
111,Francisco Garcia,SF,23,SAC
112,Ryan Gomes,PF,50,BOS
113,Luther Head,SG,24,HOU
114,Jarrett Jack,SG,22,DEN
115,Linas Kleiza,PF,27,POR
116,David Lee,SF,30,NYK
117,Jason Maxiell,PF,26,DET
118,Sean May,PF,13,CHA
119,Rashad McCants,SG,14,MIN
120,Chris Paul,PG,4,NOH
121,Nate Robinson,PG,21,PHO
122,Salim Stoudamire,SG,31,ATL
123,Dijon Thompson,SG,54,NYK
124,Ronny Turiaf,C,37,LAL
125,Charlie Villanueva,PF,7,TOR
126,Von Wafer,SG,39,LAL
127,Hakim Warrick,PF,19,MEM
128,Deron Williams,PG,3,UTA
129,Marvin Williams,PF,2,ATL
130,Antoine Wright,SG,15,NJN
131,Bracey Wright,SG,47,MIN
132,Hassan Adams,SG,54,NJN
133,Maurice Ager,SG,28,DAL
134,Hilton Armstrong,C,12,NOK
135,Renaldo Balkman,SF,20,NYK
136,Will Blalock,PG,60,DET
137,Ronnie Brewer,SG,14,UTA
138,Shannon Brown,SG,25,CLE
