Player,Year,Pos,Age,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Darrell Allums,1981,PF,22,DAL,22,12.5,1.0,3.0,0.0,0.0,1.0,3.0,0.6,1.0,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
Mel Bennett,1981,PF,26,UTA,28,11.2,0.9,2.1,0.0,0.1,0.9,2.1,1.9,2.9,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2.0,3.8
Norman Black,1981,SG,23,DET,3,9.3,1.0,3.3,0.0,0.0,1.0,3.3,0.7,2.7,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,2.7
Dave Britton,1981,PG,22,WSB,2,4.5,1.0,1.5,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.5,0.5,0.0,1.0,1.0,2.0
Michael Brooks,1981,SF,22,SDC,82,30.2,6.0,12.4,0.0,0.1,6.0,12.3,2.8,3.9,2.6,2.8,5.4,2.5,1.2,0.4,2.0,2.9,14.7
Lewis Brown,1981,C,25,WSB,2,2.5,0.0,1.5,0.0,0.0,0.0,1.5,1.0,2.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.0
Rickey Brown,1981,C,22,GSW,45,12.9,1.8,3.6,0.0,0.0,1.8,3.6,0.4,0.5,1.2,2.5,3.7,0.5,0.2,0.3,0.7,2.3,4.0
Joe Barry Carroll,1981,C,22,GSW,82,35.6,7.5,15.3,0.0,0.0,7.5,15.3,3.8,5.4,3.3,5.9,9.3,1.4,0.6,1.5,3.0,3.8,18.9
Butch Carter,1981,SF,22,LAL,54,12.4,2.1,4.6,0.1,0.2,2.1,4.4,1.3,1.8,0.6,0.6,1.2,1.0,0.4,0.0,0.9,1.8,5.6
Reggie Carter,1981,SG,23,NYK,60,8.9,1.0,3.0,0.0,0.1,1.0,2.9,0.9,1.2,0.5,0.7,1.2,1.3,0.4,0.0,0.6,1.1,2.8
Art Collins,1981,SG,26,ATL,29,13.6,1.2,3.4,0.0,0.1,1.2,3.3,0.8,1.2,0.7,0.8,1.4,0.9,0.4,0.0,1.1,1.2,3.2
Don Collins,1981,SF,22,TOT,81,22.8,4.4,10.0,0.0,0.1,4.4,9.9,2.6,3.4,1.6,1.7,3.3,2.3,1.3,0.3,2.1,3.2,11.5
