,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,college,birthday,height,weight,position,class,nba_comp,pic,Glitch,strength,weakness
0,Admiral Schofield,1.36,0.17,0.23,0.08,2.99,5.79,Tennesse,3/30/1997,6-5,210,SF,Senior,Jae Crowder,www.nbadraft.net/files/players/Admiral-Schofield-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg1.jpg?v=1560838179395,"Incredibly unique prospect from a physical attribute standpoint ... Strength and explosiveness to finish through contact easily and hang in the air ... Impacts the game on both ends of the floor ... Foot work and body control are like a guard's at 280 lbs ... Has an incredibly explosive second jump with the touch and concentration to finish ... Underrated length with a near 6'11 wingspan ... Tremendous anticipation, which allows him the ability to play a step ahead of opponents ... A nightmare to defend in space ... Very well coordinated movement for someone with his size and youth. Incredibly smooth and light on his feet at size. Agile and nimble ... Ability to catch the ball, gather and quickly change direction, avoid defender ... Excellent acceleration with the ball in hands, blows by guys playing off him, beats guys to spot ... Good motor on offensive glass, strong along with leaping ability ... Good hands ... Catches tough passes, gets 50/50 balls ... Wide frame makes it hard to get around him for defenders to contest, able to finish around and through defenders ... He is a freight train in the open court and nearly impossible to stop with his combination of size, speed and ball skills ... Often beats double and triple teams with both strength and finesse ... Strong enough to finish through contact, able to get to rim at a high rate ... Good court vision and solid decision making ... Imaginative passer and play maker ... Solid recognition of defensive schemes, unselfish, looks for teammates ... Recognizes traps and double teams, doesn’t panic, moves the ball intelligently ... Ball handling moves and shiftiness is super high level at size/age ... Very coachable. Absorbed a lot of instruction and improved his skill set at Duke ... Good hand eye coordination, able to split traps, keep dribble low, very quick hands ... Very effective in and out dribble in transition ... Has a solid spin move off the dribble and a quick behind the back dribble as well. Natural instincts for where defense is coming from and going to, instinctual dribble counters ... Nice outlets, keeps his head up in transition Defensive instincts ... Good anticipation on blocks, pins shots w/o goal tending or fouling and allows for team to recover ... When he tries, moves feet well on perimeter, quick hands, changes direction well ... Plays defensive back well, baiting opposing guards to throw a pass to his guy and then jumping the pass for an easy steal with his great closing speed ... Quick hands, gets a lot of strips and deflections ... Has shown improvement on pull ups and step back jumpers, looks fluid, getting squared, going straight up but hasn’t made them with great accuracy so far ... Magnetic personality, natural entertainer, great kid off the court by all accounts ... As long as he continues to develop, intangibles are in place to be a future star ... Great conditioning, especially considering his body type ... ","Playing style and weight puts a lot of pressure on his legs and feet. The question begs to be asked whether he can stay on the floor for a lengthy NBA career ... He will likely need to drop another 15-20 lbs in order to sustain his playing style ... 250-260 lbs would be ideal. But may not be possible ... Shot is somewhat flat with awkward release position, from the side of his head ... Is developing into a capable shooter but still needs refinement ... Plays with a great deal of emotion, but at times that emotion can get the best of him as he struggles to contain it ... Will need to work on not getting too emotional as the 82 game NBA season is a long one and can burn out players that put too much into each and every game ... Can get a little out of control at times, needs perimeter game to develop to be less predictable ... A good portion of his points come through overpowering less physically developed players, which will not work as well at the next level ... Jumper is flat, needs more arch ... Struggles to shoot from the perimeter in rhythm ... Is much more adept at spotting up when defenders sag off of him than creating shots with defenders on him ... Needs to work on polishing a pull up jumper ... Poor effort defensively at times and does not always get in a low stance, even though he can sometimes make up for it with his unique athleticism ... Loses focus defensively at times, gambles for blocks and steals ... Not always in great position, at times late on rotations ... Back to the basket game could use some work ... "
1,Bol Bol,4.4,0.87,0.43,0.77,9.61,19.8,Oregon,11/16/1999,7-2,210,C,Freshman,Kristaps Porzingis,www.nbadraft.net/files/players/bol-bol-hd_0.JPG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg2.JPG?v=1560838180136,"Has unusual size and length for an NBA big (7’2”, 7'5"" wingspan, 225 pounds) ... Ability to knock down outside shots at a high rate makes his very unique ... Moves well and is able to get out and move in transition with solid agility ... Quick for his size and has solid agility ... Has the potential to be elite on both ends of the floor due to his freakish physical package ... Has the tools (speed, length, anticipation) to potentially be an elite rim protector ... Gets up really well after grabbing a rebound ... Explodes to the rim really well ... Elevates with ease and has very good lateral speed when he applies himself ... Has good hands ... Usually is the biggest player on the floor and does a good job taking advantage of his length inside ... Handles the ball well for a big ... Has a nose for the ball ... Does a good job of following his shot and rebounding his own misses ... Had a very prductive start to the year ... Pretty aggressive on the boards (9.6 rebounds & 2.1 offensive rebounds per game) ... Does a good job getting put-backs. Has solid touch for a big man ... A natural on offense. Capable of hitting floaters and runners ... Uses pump fakes well. Has polished moves ... Knows how to put the ball on the floor and attack the rim ... Capable of shooting from the perimeter (52.0% from 3-point range on 2.8 attempts per game) ... Has a pretty fluid shooting motion ... Knows how to score (21.0 points per game) ... Does a good job using the pick and roll ... Solid free throw shooter (75.7%) ... Defends well inside and is eager to protect the rim (2.7 blocks per game) ... ","As impressive as he played early in his freshman season, his inability to stay on the floor due to injury calls into question his durability ... Played in just 9 games at Oregon due to a stress fracture in his left foot ... Questionable how reliable he’ll be at the next level ... Whichever team drafts him will be taking an inherent gamble that he doesn’t have further health issues that derail his career ... Sudanese have extremely thin bodytypes, and his body needs a lot of work ... Putting good basketball weight on could be a challenge ... Sometimes forces shots that aren’t there ... He’s still figuring out how to best take advantage of his physical tools ... Needs to learn to let the game come to him better ... Could do a better job of passing out of double-teams and finding the open man and cutters (1 assist and 2 turnovers per game) ... While he is capable of running the floor well in transition, doesn’t always hustle as well as he could ... Still pretty wiry. Needs to do a better job of handling contact inside ... Projects to have a substantial learning curve as he heads into the NBA ... Might be a couple of years away from being a impact player as he still physically matures and develops ... High school reputation draws into question his team focus and attitude ... Unwillingness to apply himself in interviews while in HS calls into question his focus and desire to apply himself at the highest level ... "
2,Brandon Clarke,5.73,1.24,0.68,1,8.9,22.66,Gonzaga,9/19/1996,6-8,210,PF,Junior,Jordan Bell,www.nbadraft.net/files/players/brandon-clarke-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg3.jpg?v=1560838179723,"Bouncy, undersized big who plays with tremendous explosiveness and energy ... He is a strong finisher around the basket ... He’s shown the ability to score off the dribble ... He’s able to score from the low post against certain matchups ... He’s great at scoring on off ball motion plays ... He is a great rebounder, averaging over 8 a game the last couple years ... He is very good on the defensive end of the floor, as a help defender and on the ball ... An amazing shot blocker for a 6’8 forward, he averaged over 3 blocks per game this past season ... Along with the 3+ blocks, he averaged over 1 steal per game ... He has a non-stop motor to go along with his elte athleticism ... He has great timing when he goes to contest shots at the rim ... He rarely fouls despite contesting a lot of shots ... He’s rarely out of control despite how hard he plays ... He’s capable of switching screens and defending players on the perimeter ... In the NBA he’ll need that skill with how the game is played today ... He plays within himself and doesn’t take shots out of his skill set……. He has great touch around the basket ... He’s capable of guarding four different positions ... His athleticism can make him a great help defender at the next level ... He runs the floor very well in transition ... He’s a good finisher in traffic ... ","Does not have ideal size or strength to play in the post at the next level ... Lacks length with just a 6'8.25 wingpsan on his 6'8 (in shoes) frame ... To make matters worse he weighed in at the combine at just 207 lbs, which is concerning considering his age ... Will turn 23 in September, making him older for a first round draft prospect ... Revamped his jumpshot in his redshirt, transfer year, but still has work to do on it ... He needs to improve the range and consistency on his perimeter jump shot ... He shot only 27% from the 3-point line last season ... He doesn’t look comfortable shooting unless he is wide open ... His reluctancy to shoot could affect his team’s offensive rhythm ... He struggles at the free throw line, he shot 69% from the line last season ... He needs to extend his shooting range in order to not be a liability on the floor at the next level ... He’s not a great ball handler which can lead to turnovers against NBA players ... He can be careless at times with the basketball, which NBA teams will make him pay for ... He can be undisciplined at times on the defensive end ... At times going for blocks too often puts him and the team out of position ... He needs to increase his playmaking skills to make himself more versatile on the offensive end of the floor ... His lack of a jump shot will limit his options to blow by his defenders on the closeouts ... "
3,Bruno Fernando,4.87,1.2,0.53,0.7,8.6,19.92,Maryland,8/15/1998,6-10,240,C,Sophomore,Steven Adams,www.nbadraft.net/files/players/bruno-fernando-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg4.jpg?v=1560838180179,"A high level run jump athlete at the center position ... Explosive finisher and alley-oop target, with great bounce, especially off of two feet ... Very solid touch and shooting ability for a big ... Shows excellent form and touch shooting the ball (a career 75% ft shooter) ... Has become a load on the block ... Has excellent footwork in the post with solid ability to establish position and seal his man for jump hooks and drop steps ... Has a developing turn around hook shot over his left shoulder ... Possesses excellent hands, showing an ability to catch entry passes and make plays with the ball without having to focus any attention to it ... Has learned solid skill on the block, with the ability to seal his man, create a wide base for teammates to find him with passes, and can make plays quickly after establishing advantageous position ... Has developed a bag of tricks in the paint with spin moves and up-and-unders. Does a great job of not predetermining his moves and really gives defenders trouble with his foot work and ball fakes ... His hands appear to be just as good as his feet ... Creates space offensively by bumping his defender off balance ... Finishes well in the paint, whether it be with a dunk or baby hooks ... Ambidextrous, showing the ability to finish well with both his left and dominant right hand ... Very good touch. And an above average FT shooter for a big ... Enjoys contact. Displays great toughness and a willingness to give up his body for rebounds ... Very strong body and should only continue to add to his muscular frame ... While his skill set is more that of a traditional big with a focus on his post game, his size, mobility and touch give him potential as a modern day big, and his ability to move his feet and defend guards on pick and rolls gives him added intrigue ... Has really improved as an offensive player, showing confidence facing the basket from the perimeter and can make plays attacking the basket off the dribble ... He's able to take opponents off the bounce with a quick first step and can get to the rim without drawing charges or turning the ball over. A sign of his coach-ability and dedication to improving his game ... Finishes well on the move ... Also has the ability to one dribble pull up from 10-12 feet if the defense sags off him ... Young man with a lot of maturity and composure. Has a calm, confident demeanor and never seems to lose his cool, or get rattled ... Has a real presence about him, doesn’t shy away from competition or the limelight and shows a steady demeanor and confidence to handle adversity and tough situations ... His feel for the game has shown steady improvement, and he apparently made an excellent decision to return to Maryland for his sophomore year, despite being a likely first rounder as a FR ... Excellent 7-plus foot wingspan gives him good length at 6’10 ... ","Still unproven to some degree against quality competition, though this season he has begun to show what he can do against higher level opponents ... Offensive game, while promising is still a work in progress ... Still not the most prolific of scorers at 15 ppg after averaging 10 ppg as a freshman in the Big Ten ... While he has come a long way in a short time, still must continue to improve upon his feel for the game ... At times is slow to recognize double teams and will take the ball into the teeth of defenders, instead of working the ball out for a better look ... His ball handling has really grown into a strength, but can still be sloppy and lead to turnovers ... Doesn't have range out past 12-15 feet at this point. While his form and touch suggest he could develop a 3 point shot, to this point he has not been able to add that element to his game ... His passing at times can be sloppy, though his 2 assists per game are solid for a big and show that he's not a black hole on offense ... Perhaps just slightly undersized at the center position at 6'10 ... Will be 21 (August 15th) before the 2019 NBA Season begins, so his upside is not as intriguing as a true freshman ... Not the most formidable shot blocker or rim protector, though he's solid in this area with a chance to improve. He'll need to focus more attention to this area of the game ... "
4,Cam Reddish,1.96,1.47,0.72,0.29,7.84,15.43,Duke,9/1/1999,6-8,210,SF,Freshman,Rudy Gay,www.nbadraft.net/files/players/cameron-reddish-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg5.jpg?v=1560838180155,"Versatile small forward with good shooting and overall offensive skills ... Not elite vision but his handle allows him to make plays for others and himself ... Able to bring the ball up even against pressure ... An above average athlete. Very fluid and coordinated, doesn’t look out of place at any position 1-4 ... Will find open man, comfortable making a pass off the dribble, keeps his head up, likes to draw and kick ... Shot selection needs work but he has excellent range on his 3-point shot, already comfortable from NBA range ... Quick release. Gets low to the ground with his handle, flexible, has serious moves off the dribble even though he did not always get to showcase them at Duke as the third option behind Zion Williamson and RJ Barrett ... Live dribble counters, can stop on a dime and pull up or use size and craft to get all the way ... Handle doesn’t slow him down at all, in open court situation, his top speed is good ... When feet are set and he goes up with balance he is a terrific shooter ... Low 3-point percentages seem to be more a product of role and shot selection, but he could provide spacing in modern game ... Great physical tools at 6’7 with 7’1 wing span ... Excellent anticipation and timing to go along with length, absolutely a terror in full court press, traps and passing lanes ... His wingspan and size even allows him to be a weak side shot blocker ... When inspired, a good rebounder as well ... Not huge but solid frame, can play some small ball 4, does well with contact, fights for rebounds, can post up, understands positioning ... High level defensive potential, super versatile but active with quick hands as well ... Length allows him to cover huge distance ...","Struggled to live up to his potential at Duke and really struggled with consistency ... Deferred to teammates far too often, and never seemed to find a rhythm ... Competitiveness and toughness came into question during season ... Not an explosive finisher, gets to the basket with handle and skill more than athletic ability ... Doesn’t really get up as much as you’d expect with his length, struggles to finish in tight spaces and over length ... Below average first step, his tendency to settle for jumpers is partly explained by inability to beat guys to spots and set them up with fakes, all giving the impression that he has average quickness ... Often poor shot selection ... Loves pull up for 3s. Has a bad tendency to take zero pass pull up 3s ... Often has poor balance on pull ups, tends to lean or fade instead of going straight up ... Still learning how to run pick and roll ... Determination and dedication need work ... Disappeared for long stretches in many games at Duke, lacking assertiveness ..."
5,Cameron Johnson,2.32,0.65,0.43,0.32,3.99,10,North Carolina,3/3/1996,6-8,205,SF,Senior,Justin Jackson,www.nbadraft.net/files/players/cameron-johnson-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg6.jpg?v=1560838180031,"Lights-out shooter … Tall, wiry smooth forward … Consistent shooter off ball-screens and dribble pull-ups … Release is very difficult to contest … Consistently hits heavily guarded/tough shots … Limitless range … Above average catch-and-shoot ability … Efficiency regarding shots/points ratio is impressive. 11.6 Field Goal Attempts a game while averaging 16.9 points per game … While averaging 5.8 3-point attempts per game, still managed to hit at a 46% clip … Shot 57% from inside the arc this season due to an improved mid-range game … Impressive while moving without the ball, works hard to cut off screens to get open … Impressive free-throw shooter, all three years as a starter he shot 80%+ from the charity stripe … Johnson averaged a career-best defensive rating this year after getting offseason hip surgery which has improved his mobility … Active defender, averaging 1.2 steals per game … Average rebounder for his size/frame … Played with NBA talent at North Carolina (Coby White, Nassir Little and meshed well … As usage rate increased through his college career, his efficiency and statistics all improved … Quick release with fluid shooting motion … Impressed playing against NBA talent such as Duke/Gonzaga (24 points, 7 rebounds, 4 assists vs. Duke/25 points on 6/8 shooting from deep) ... Considered a high character kid ...","Draft age is the red flag here when it comes to sneaking into the first round. Johnson was a Redshirt Senior this season and turned 23 in early March … At best an average athlete lacking standout speed and leaping ability … Role most likely to play in the NBA is a three-and-D player and while he improved this year, still looks stiff on perimeter and could struggle against athletic wings … Despite such a long frame, Johnson has troubling contesting shots while averaging just 0.3 blocks per game … Looks hesitant going into the paint and finishing around the rim, will settle for jump shots instead … Not aggressive enough to go into the paint and get fouled as he only averaged 3 free throw attempts per game last season … Limited playmaker while averaging 2.4 assists per game and excelling off catch-and-shoot opportunities … Not a post presence, all shots taken are driving or perimeter … Can rebound, but ability is too limited to become a small-ball four … only 210 pounds at 6’9, must add weight which would create versatility in his game around the rim ... There are some concerns about how his body will hold up to the rigors of physical NBA play ..."
6,Carsen Edwards,1.47,1.26,0.44,0.07,6.21,11.39,Purdue,3/12/1998,6-0,200,PG,Junior,Quinn Cook,www.nbadraft.net/files/players/carsen-edwards-hd.jpeg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg7.jpeg?v=1560838180095,"High scoring Purdue guard, Carsen Edwards proved once again in this past NCAA tournament that he could really grab points in a hurry, and a lot of the skills he used to do so will be his most appealing traits when looking toward an NBA future ... Carsen scored an impressive 24.3 points per game last season as a Junior, including three 40 point games (2 in the NCAA tournament) ... A high volume 3 point shooter, Edwards hit a whopping 135 three pointers (3.8 per game) on 35.5% shooting last season ... He has NBA range, a nice release, and the ability to gain separation against his defender ... While 35.5% from deep isn't a jaw dropping number, as a sophomore he 40% from beyond the arc on only 6.5 attempts per game on a team that wasn't as reliant on him for offense ... An absolute terror in transition, Edwards is fearless on the break, and has excellent end to end speed that allows him to use get a nice number of fast break layups ... Using his elite quickness, plus ball handling skills, and low center of gravity, Edwards is great off the dribble, and has a knack at getting into the lane ... Carsen is a creative finisher once he does get to the rim, and with his above average leaping ability he finishes above the rim at a surprising rate for a player his size ... At 6' in shoes, he has a 6'6.25'' wingspan, which allows him to play much larger than his listed height ... Pair that with his athletic ability and it helps his cause further still ... Edwards also sports a well muscled 200 pound frame that will allow him to hold his own in league with much larger, stronger players ... Although defense isn't his calling card, especially since he was asked to do so much on offense for the Boilermakers, Carsen has good anticipation in the passing lanes, and is a surprisingly adept shot blocker in fast break or help side situations, in part due to his athletic ability but also due to natural timing ... Edwards is also pretty a pretty solid defensive rebounder for someone his size (3.6 per game) and while this certainly won't be his calling card in the NBA, he does look to push those defensive rebounding opportunities into fast break opportunities, which is certainly something that can translate to the next level ... A scrappy, clutch player, Edwards is comfortable in big moments, and proved he has the ability to carry a massive burden of a college team's offensive load ... He also made significant improvement in each of his three collegiate seasons ... ","Carsen Edwards is a nice passer on the break, but is really a shooting guard, and just doesn't have the mentality of a point guard ... This gives him appeal as a guy you can bring off the bench to fill it up, but his style doesn't really lend himself as someone who projects to be an NBA starter ... As a junior, he shot just 49% at the rim (hoop-math.com) and in the NBA against longer, athletic defenders, scoring at the rim will be considerably harder than it was in college ... Only averaged 2.9 assists last season, and is more of a one on one iso player than a guy who can be used to consistently set up teammates outside of fast breaks and drive and kick situations ... Despite a nice wingspan, he only has a 7'10.5'' standing reach, which is very poor for an NBA player ... He also measured the shortest player last season (5'10'' without shoes) when he tested the waters at the NBA combine ... This will make him a guy that is very easy to shoot over, or back down at the next level. Aside from his instincts in the passing lanes, Edwards projects to be a player that will be a defensive liability in the NBA (especially since his natural position is a shooting guard) ... Despite a lot of in game athleticism that is displayed, Edwards didn't establish himself as an elite athlete during last year's combine testing ... "
7,Chuma Okeke,2.5,0.71,0.53,0.32,4.05,10.66,Auburn,8/18/1998,6-8,235,PF,Sophomore,Robert Horry,www.nbadraft.net/files/players/chuma-okeke-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg8.jpg?v=1560838180644,"He’s a high level jump shooter ... He shot over 38% from beyond the arc this past season ... He’s a capable scorer off the dribble ... He is great at moving without the basketball, he gives the offense a different dimension with his off ball movement ... He’s a solid playmaker, capable of finding his opening open teammates ... He improved his rebounding by 1 per game this past season ... He’s very active on the boards ... Knows his limits and stays within himself ... Displays his IQ on his shot selection ... He shot almost 50% from the field this season ... He’s a good defender, and good instincts on the defensive end of the floor.... He averaged over 1 block and almost 2 steals per game ... He’s a good athlete with a long wingspan, capable of scoring in transition and defending multiple positions ... He’s a solid scorer from the low post, able to take advantage of mismatches down low ... 7' foot wingpsan helps him overcome some of his height dificiencies as a post player ... Lack of a true position could end up working out well for him in today's positionless game ... He may work ideally in the role of a small ball 4 with his mobility and ability to face up and spread the floor ...","He needs to improve his free throw percentage, he shot only 72% from the line this season ... He may struggle to create his own shot at the next level ... Shouldl ook to develop a better shot off the dribble ... In the league today he will be easily defended if he doesn’t improve his ability to create for himself... At times he is very careless with the basketball, that leads to turnover ... At the next level, teams will convert on his turnovers ... He is undisciplined at times on the defensive end of the floor ... Sometimes he gets out of position or gambles unnecessarily ... He doesn’t have a defined position, not really a 3 or a 4 which will lead him to struggle to find a role at the next level ... He’s a little undersized as a 4 but he might not be quick enough to defend 3s ... He tore his ACL back in March so how he recovers will be monitored ... Questions will persist about his ability to get back to 100% mobility, explosiveness and confidence that he had before ... Will turn 21 in August, making him slightly older for a sophomore ..."
8,Coby White,2.67,2.87,0.75,0.22,10.89,21.32,North Carolina,2/16/2000,6-5,190,PG,Freshman,Gilbert Areanas,www.nbadraft.net/files/players/coby-white-hd1.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg9.jpg?v=1560838180350,"Lighting quick 6’5’’, 185-pound combo guard … Aggressive scoring mentality but also unselfish passer of the ball… Shifty player with an excellent first step that allows him to blow by defenders … Versatile scorer. Can score anywhere on the floor, either getting his own shot off the dribble or catch and shoot situations ... Has a quick and accurate release … Adjusts his body midair on challenging layups … Great job at creating space for his shot … Can score from all three levels … Gets defenders off balance because of his quick stop/start ability … can get his shot off against top perimeter defenders ... Has offensive versatility because of his ability to play on or off the ball … A lot of upside left to develop, having just finished his freshman year … Solid three-point shooter (35.3% in his freshman season at North Carolina) and his range that extends out to the NBA 3-pt line … solid mid-range game with a nice pull-up jumper and floater ... Is a scoring threat from anywhere in the half court … Has the ability to score in bunches and go off on any given night … Scored 33 or more points in three games with the Tar Heels ... Impressive lateral quickness … Good ball handler and facilitator, averaging 4.1 assists per game … Creates offense for himself and scores at the rim with his right or left hand … Drives aggressively to the hoop, drawing contact ...Can finish at or above the rim with either hand and regularly finishes difficult layups ... Great at penetrating and drawing fouls to get to the foul line … Shot 3.7 free throws per game … Confident shooter ... Brings a competitive energy on the defensive end … Does a great job at finding his teammates in transition …Stays in front of opponents well and plays with active hands… Averaged 16.1 points and 1.1 steals per game at North Carolina … Excellent free throw shooter (80%) ... Moves well without the basketball ...",His quickness can be both a blessing and a curse … More effective as a scorer than a playmaker ... Needs to improve as a decision maker and passer … Good athlete but does not have a physical frame that stands out … Can improve overall as a playmaker ... Can get out of control… Must cut down on turnovers with 2.7 per game in his freshman season … Good athlete but not an incredibly explosive leaper ... His low release point makes it challenging to get his shot off over tall defenders … Not a great rebounder … Sometimes passes up open teammates for a forced shot of his own ... Can improve field goal percentage from 42 percent for his freshman year at UNC … Tends to throw inaccurate passes when he is moving at a faster rate than the play is developing at … Overall strength can improve … Finishing athletically at the rim will be tougher at the next level … 
9,Darius Garland,2.82,2.33,0.6,0.26,9.97,19.41,Vanderbilt,1/26/2000,6-2,175,PG,Freshman,Mo Williams,www.nbadraft.net/files/players/darius-garland-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg10.jpg?v=1560838179944,"A 6’2’’ultra quick and shifty point guard … Possesses some of the best ball handling skills in the 2019 draft class … Has an adept ability to create his own shot … A ""slick"" ISO player with refined pull up abilities off the dribble. Very crafty at setting up shots and using change of speed and pump fakes to get defenders biting and off balance ... Excellent at using the dribble to create passing angles ... Extreme quickness, keeping defenders off balance … Deadly three point shooter … His silky smooth release and dribbling abilities make him difficult for opponents to defend … Before suffering a season-ending knee injury, he averaged 16.2 points and 3.8 rebounds in his five games with Vanderbilt ... He is extremely challenging to stay in front of when he is in a scoring rhythm ... Catches opponents off guard with his open court speed ... Knows when to use his soft floater and gets to the basket with ease ... Has quick hands and is a scrappy defender ... Has good length and size for the PG position with a 6'5 wingpsan and a 8'1 standing reach ... Players with NBA bloodlines seem to fare better than the average, so having a father (Winston Garland) that played in the league gives him added intrigue ... Shot 75% FT in five games, but was closer to 85% in high school ... ","Relatively unproven, especially risky to be taken as a high/mid lottery pick without having had to prove himself over the course of a college season ... Turnover prone ... Negative a/to numbers through first five games of college career. In his limited action as a Vanderbilt freshman, he totaled (2.6 apg) 13 assists to (3.0 tpg) 15 turnovers, which is uncharacteristic for such a talented point guard ... A small sample size to draw any real conclusions from, however was turnover prone in high school as well, so may take a while to learn to become a reliable distributor at the NBA level … Sometimes struggles to make the right decision under the rim … Not an explosive athlete … Very thin frame and may struggle to put on a ton of srength/weight … May get bullied around by NBA guards due to his lack of size … Not all players recover 100% from knee injuries, so it is something that NBA teams have to take into consideration regarding his medical reports … "
