,#,Team,Wins,Losses,Pts,Rbds,Offense,Defense,Diff,Year
0,1,Lakers,67,15,8.55,3.87,107.90,98.75,9.15,2000
1,2,Trailblazers,59,23,6.40,4.00,108.62,101.48,7.14,2000
2,3,Pacers,56,26,4.60,-1.60,109.13,104.17,4.95,2000
3,4,Jazz,55,27,4.46,2.91,108.01,103.01,5.00,2000
4,5,Spurs,53,29,5.94,2.40,105.79,99.26,6.53,2000
5,6,Suns,53,29,5.22,0.54,105.17,99.62,5.55,2000
6,7,Heat,52,30,3.11,2.74,105.36,101.89,3.47,2000
7,8,Knicks,50,32,1.46,-0.55,103.17,101.53,1.64,2000
8,9,Timberwolves,50,32,2.52,1.60,106.76,104.02,2.74,2000
9,10,Pelicans,49,33,2.67,0.04,104.93,102.09,2.85,2000
10,11,76ers,49,33,1.34,0.60,102.12,100.67,1.45,2000
11,12,Raptors,45,37,-0.16,0.41,105.35,105.52,-0.17,2000
12,13,Sonics,45,37,0.95,-2.07,106.17,105.16,1.02,2000
13,14,Kings,44,38,2.92,-2.60,105.51,102.58,2.93,2000
14,15,Bucks,42,40,0.22,-0.20,108.97,108.73,0.24,2000
15,16,Pistons,42,40,1.44,-1.24,107.96,106.46,1.50,2000
16,17,Magic,41,41,0.68,1.45,103.05,102.35,0.70,2000
17,18,Mavericks,40,42,-0.57,-7.26,107.17,107.78,-0.61,2000
18,19,Celtics,35,47,-0.76,1.67,105.34,106.14,-0.80,2000
19,20,Nuggets,35,47,-2.12,0.37,104.10,106.33,-2.23,2000
20,21,Rockets,34,48,-0.87,1.41,105.46,106.37,-0.92,2000
21,22,Cavaliers,32,50,-3.50,-1.10,101.03,104.68,-3.65,2000
22,23,Nets,31,51,-1.04,-5.26,105.87,106.99,-1.12,2000
23,24,Wizards,29,53,-3.28,1.49,104.17,107.70,-3.54,2000
24,25,Hawks,28,54,-5.38,2.32,102.64,108.50,-5.85,2000
25,26,Grizzlies,22,60,-5.62,0.27,103.19,109.36,-6.18,2000
26,27,Warriors,19,63,-8.27,-0.54,100.36,109.05,-8.69,2000
27,28,Bulls,17,65,-9.40,-0.74,95.25,105.81,-10.56,2000
28,29,Clippers,15,67,-11.52,-4.94,98.45,110.78,-12.33,2000
29,1,Spurs,58,24,7.76,2.62,107.23,98.58,8.65,2001
